"Sample","Depth","Group"
"HC0666",10000,"HC"
"HC0667",10000,"HC"
"HC0668",10000,"HC"
"HC0669",10000,"HC"
"HC0670",10000,"HC"
"HC0671",10000,"HC"
"HC0672",10000,"HC"
"HC0673",10000,"HC"
"HC0674",10000,"HC"
"HC0675",10000,"HC"
"HC0676",10000,"HC"
"HC0677",10000,"HC"
"HC0678",10000,"HC"
"HC0680",10000,"HC"
"HC0681",10000,"HC"
"HC0682",10000,"HC"
"HC0683",10000,"HC"
"HC0684",10000,"HC"
"HC0685",10000,"HC"
"HC0686",10000,"HC"
"HC0687",10000,"HC"
"HC0688",10000,"HC"
"HC0689",10000,"HC"
"HC0690",10000,"HC"
"HC0691",10000,"HC"
"HC0692",10000,"HC"
"HC0693",10000,"HC"
"HC0694",10000,"HC"
"HC0695",10000,"HC"
"HC0696",10000,"HC"
"HC0697",10000,"HC"
"HC0698",10000,"HC"
"HC0699",10000,"HC"
"HC0700",10000,"HC"
"HC0701",10000,"HC"
"HC0702",10000,"HC"
"HC0703",10000,"HC"
"HC0704",10000,"HC"
"HC0705",10000,"HC"
"HC0706",10000,"HC"
"HC0707",10000,"HC"
"HC0708",10000,"HC"
"HC0709",10000,"HC"
"HC0710",10000,"HC"
"HC0711",10000,"HC"
"HC0712",10000,"HC"
"HC0713",10000,"HC"
"HC0715",10000,"HC"
"HC0716",10000,"HC"
"HC0717",10000,"HC"
"HC0718",10000,"HC"
"HC0719",10000,"HC"
"HC0720",10000,"HC"
"HC0721",10000,"HC"
"HC0722",10000,"HC"
"HC0723",10000,"HC"
"HC0724",10000,"HC"
"HC0725",10000,"HC"
"HC0727",10000,"HC"
"HC0728",10000,"HC"
"HC0729",10000,"HC"
"HC0730",10000,"HC"
"HC0731",10000,"HC"
"HC0732",10000,"HC"
"HC0733",10000,"HC"
"HC0734",10000,"HC"
"HC0735",10000,"HC"
"HC0736",10000,"HC"
"HC0737",10000,"HC"
"HC0738",10000,"HC"
"HC0739",10000,"HC"
"HC0740",10000,"HC"
"HC0742",10000,"HC"
"HC0743",10000,"HC"
"HC0744",10000,"HC"
"HC0745",10000,"HC"
"HC0746",10000,"HC"
"HC0747",10000,"HC"
"HC0748",10000,"HC"
"HC0749",10000,"HC"
"HC0751",10000,"HC"
"HC0752",10000,"HC"
"HC0753",10000,"HC"
"HC0754",10000,"HC"
"HC0755",10000,"HC"
"HC0756",10000,"HC"
"HC0757",10000,"HC"
"HC0758",10000,"HC"
"HC0759",10000,"HC"
"HC0760",10000,"HC"
"HC0761",10000,"HC"
"HC0762",10000,"HC"
"HC0764",10000,"HC"
"HC0765",10000,"HC"
"HC0766",10000,"HC"
"HC0767",10000,"HC"
"HC0768",10000,"HC"
"HC0769",10000,"HC"
"HC0770",10000,"HC"
"HC0771",10000,"HC"
"HC0772",10000,"HC"
"HC0773",10000,"HC"
"HC0774",10000,"HC"
"HC0775",10000,"HC"
"HC0776",10000,"HC"
"HC0777",10000,"HC"
"HC0778",10000,"HC"
"HC0779",10000,"HC"
"HC0780",10000,"HC"
"HC0781",10000,"HC"
"HC0782",10000,"HC"
"HC0783",10000,"HC"
"HC0784",10000,"HC"
"HC0786",10000,"HC"
"HC0787",10000,"HC"
"HC0788",10000,"HC"
"HC0789",10000,"HC"
"HC0790",10000,"HC"
"HC0792",10000,"HC"
"HC0793",10000,"HC"
"HC0794",10000,"HC"
"HC0795",10000,"HC"
"HC0797",10000,"HC"
"HC0798",10000,"HC"
"HC0799",10000,"HC"
"HC0800",10000,"HC"
"HC0801",10000,"HC"
"HC0802",10000,"HC"
"HC0803",10000,"HC"
"HC0804",10000,"HC"
"HC0805",10000,"HC"
"HC0807",10000,"HC"
"HC0808",10000,"HC"
"HC0809",10000,"HC"
"HC0810",10000,"HC"
"HC0811",10000,"HC"
"HC0812",10000,"HC"
"HC0813",10000,"HC"
"HC0814",10000,"HC"
"HC0816",10000,"HC"
"HC0817",10000,"HC"
"HC0818",10000,"HC"
"HC0819",10000,"HC"
"HC0820",10000,"HC"
"HC0821",10000,"HC"
"HC0822",10000,"HC"
"HC0823",10000,"HC"
"HC0824",10000,"HC"
"HC0825",10000,"HC"
"HC0826",10000,"HC"
"HC0827",10000,"HC"
"HC0828",10000,"HC"
"HC0829",10000,"HC"
"HC0830",10000,"HC"
"HC0831",10000,"HC"
"HC0832",10000,"HC"
"HC0833",10000,"HC"
"HC0834",10000,"HC"
"HC0835",10000,"HC"
"HC0836",10000,"HC"
"HC0837",10000,"HC"
"HC0838",10000,"HC"
"HC0839",10000,"HC"
"HC0840",10000,"HC"
"HC0841",10000,"HC"
"HC0842",10000,"HC"
"HC0843",10000,"HC"
"HC0844",10000,"HC"
"HC0845",10000,"HC"
"HC0846",10000,"HC"
"HC0847",10000,"HC"
"HC0848",10000,"HC"
"HC0849",10000,"HC"
"HC0850",10000,"HC"
"HC0851",10000,"HC"
"HC0852",10000,"HC"
"HC0853",10000,"HC"
"HC0854",10000,"HC"
"HC0855",10000,"HC"
"HC0856",10000,"HC"
"HC0857",10000,"HC"
"HC0858",10000,"HC"
"HC0859",10000,"HC"
"HC0860",10000,"HC"
"HC0861",10000,"HC"
"HC0862",10000,"HC"
"HC0863",10000,"HC"
"HC0864",10000,"HC"
"HC0865",10000,"HC"
"HC0868",10000,"HC"
"HC0869",10000,"HC"
"HC0870",10000,"HC"
"HC0871",10000,"HC"
"HC0872",10000,"HC"
"HC0873",10000,"HC"
"HC0874",10000,"HC"
"HC0875",10000,"HC"
"HC0876",10000,"HC"
