"Sample","Depth","Group"
"HC1477",10000,"HC"
"HC1478",10000,"HC"
"HC1479",10000,"HC"
"HC1480",10000,"HC"
"HC1481",10000,"HC"
"HC1482",10000,"HC"
"HC1483",10000,"HC"
"HC1484",10000,"HC"
"HC1485",10000,"HC"
"HC1486",10000,"HC"
"HC1487",10000,"HC"
"HC1488",10000,"HC"
"HC1489",10000,"HC"
"HC1490",10000,"HC"
"HC1491",10000,"HC"
"HC1492",10000,"HC"
"HC1493",10000,"HC"
"HC1494",10000,"HC"
"HC1495",10000,"HC"
"HC1496",10000,"HC"
"HC1497",10000,"HC"
"HC1498",10000,"HC"
"HC1499",10000,"HC"
"HC1500",10000,"HC"
"HC1501",10000,"HC"
"HC1502",10000,"HC"
"HC1503",10000,"HC"
"HC1504",10000,"HC"
"HC1505",10000,"HC"
"HC1506",10000,"HC"
"HC1507",10000,"HC"
"HC1508",10000,"HC"
"HC1509",10000,"HC"
"HC1510",10000,"HC"
"HC1511",10000,"HC"
"HC1512",10000,"HC"
"HC1513",10000,"HC"
"HC1514",10000,"HC"
"HC1515",10000,"HC"
"HC1516",10000,"HC"
"HC1517",10000,"HC"
"HC1518",10000,"HC"
"HC1519",10000,"HC"
"HC1520",10000,"HC"
"HC1521",10000,"HC"
"HC1522",10000,"HC"
"HC1523",10000,"HC"
"HC1524",10000,"HC"
"HC1525",10000,"HC"
"HC1526",10000,"HC"
"HC1527",10000,"HC"
"HC1528",10000,"HC"
"HC1529",10000,"HC"
"HC1530",10000,"HC"
"HC1531",10000,"HC"
"HC1532",10000,"HC"
"HC1533",10000,"HC"
"HC1534",10000,"HC"
"HC1535",10000,"HC"
"HC1536",10000,"HC"
"HC1537",10000,"HC"
"HC1538",10000,"HC"
"HC1539",10000,"HC"
"HC1540",10000,"HC"
"HC1541",10000,"HC"
"HC1542",10000,"HC"
"HC1543",10000,"HC"
"HC1544",10000,"HC"
"HC1545",10000,"HC"
"HC1546",10000,"HC"
"HC1547",10000,"HC"
"HC1548",10000,"HC"
"HC1549",10000,"HC"
"HC1550",10000,"HC"
"HC1551",10000,"HC"
"HC1552",10000,"HC"
"HC1553",10000,"HC"
"HC1554",10000,"HC"
"HC1555",10000,"HC"
"HC1556",10000,"HC"
"HC1557",10000,"HC"
"HC1558",10000,"HC"
"HC1559",10000,"HC"
"HC1560",10000,"HC"
"HC1561",10000,"HC"
"HC1562",10000,"HC"
"HC1563",10000,"HC"
"HC1564",10000,"HC"
"HC1565",10000,"HC"
"HC1701",10000,"HC"
"HC1702",10000,"HC"
"HC1703",10000,"HC"
"HC1704",10000,"HC"
"HC1705",10000,"HC"
"HC1706",10000,"HC"
"HC1708",10000,"HC"
"HC1709",10000,"HC"
"HC1711",10000,"HC"
"HC1713",10000,"HC"
"HC1714",10000,"HC"
"HC1715",10000,"HC"
"HC1716",10000,"HC"
"HC1718",10000,"HC"
"HC1719",10000,"HC"
"HC1720",10000,"HC"
"HC1721",10000,"HC"
"HC1800",10000,"HC"
"HC1801",10000,"HC"
"HC1808",10000,"HC"
"HC1809",10000,"HC"
"HC1820",10000,"HC"
"HC1821",10000,"HC"
"HC1888",10000,"HC"
"HC2001",10000,"HC"
"HC2004",10000,"HC"
"HC2005",10000,"HC"
"HC2006",10000,"HC"
"HC2008",10000,"HC"
"HC2009",10000,"HC"
"HC2010",10000,"HC"
"HC2012",10000,"HC"
"HC2013",10000,"HC"
"HC2014",10000,"HC"
"HC2015",10000,"HC"
"HC2016",10000,"HC"
"HC2017",10000,"HC"
"HC2018",10000,"HC"
"HC2019",10000,"HC"
"HC2020",10000,"HC"
"HC2021",10000,"HC"
"HC2023",10000,"HC"
"HC2024",10000,"HC"
"HC2026",10000,"HC"
"HC2027",10000,"HC"
"HC2029",10000,"HC"
"HC2030",10000,"HC"
"HC2033",10000,"HC"
"HC2034",10000,"HC"
"HC2038",10000,"HC"
"HC2042",10000,"HC"
"HC2045",10000,"HC"
"HC2046",10000,"HC"
"HC2047",10000,"HC"
"HC2049",10000,"HC"
"HC2054",10000,"HC"
"HC2055",10000,"HC"
"HC2056",10000,"HC"
"HC2057",10000,"HC"
"HC2058",10000,"HC"
"HC2059",10000,"HC"
"HC2061",10000,"HC"
"HC2062",10000,"HC"
"HC2064",10000,"HC"
"HC2066",10000,"HC"
"HC2067",10000,"HC"
"HC2069",10000,"HC"
"HC2070",10000,"HC"
"HC2072",10000,"HC"
"HC2076",10000,"HC"
"HC4001",10000,"HC"
"HC4002",10000,"HC"
"HC4003",10000,"HC"
"HC4004",10000,"HC"
"HC4005",10000,"HC"
"HC4006",10000,"HC"
"HC4007",10000,"HC"
"HC4008",10000,"HC"
"HC4009",10000,"HC"
"HC4010",10000,"HC"
"HC4033",10000,"HC"
"HC4041",10000,"HC"
"HC4048",10000,"HC"
"HC4501",10000,"HC"
"HC4504",10000,"HC"
"HC4505",10000,"HC"
"HC4506",10000,"HC"
"HC4507",10000,"HC"
"HC4508",10000,"HC"
"HC4509",10000,"HC"
"HC4510",10000,"HC"
"HC4511",10000,"HC"
"HC4512",10000,"HC"
"HC4513",10000,"HC"
"HC4515",10000,"HC"
"HC4517",10000,"HC"
"HC4519",10000,"HC"
"HC4520",10000,"HC"
"HC4521",10000,"HC"
"HC4522",10000,"HC"
"HC4523",10000,"HC"
"HC4525",10000,"HC"
"HC4535",10000,"HC"
"HC4536",10000,"HC"
"HC4537",10000,"HC"
"HC4538",10000,"HC"
"HC4539",10000,"HC"
"HC4543",10000,"HC"
"HC4547",10000,"HC"
"HC4550",10000,"HC"
"HC5001",10000,"HC"
"HC5002",10000,"HC"
"HC5003",10000,"HC"
"HC5004",10000,"HC"
"HC5005",10000,"HC"
"HC5006",10000,"HC"
"HC5007",10000,"HC"
"HC5008",10000,"HC"
"HC5009",10000,"HC"
"RA0001",10000,"RA"
"RA0002",10000,"RA"
"RA0003",10000,"RA"
"RA0007",10000,"RA"
"RA0009",10000,"RA"
"RA0010",10000,"RA"
"RA0011",10000,"RA"
"RA0012",10000,"RA"
"RA0013",10000,"RA"
"RA0014",10000,"RA"
"RA0016",10000,"RA"
"RA0017",10000,"RA"
"RA0018",10000,"RA"
"RA0020",10000,"RA"
"RA0021",10000,"RA"
"RA0022",10000,"RA"
"RA0024",10000,"RA"
"RA0026",10000,"RA"
"RA0027",10000,"RA"
"RA0028",10000,"RA"
"RA0029",10000,"RA"
"RA0031",10000,"RA"
"RA0032",10000,"RA"
"RA0033",10000,"RA"
"RA0035",10000,"RA"
"RA0036",10000,"RA"
"RA0037",10000,"RA"
"RA0038",10000,"RA"
"RA0040",10000,"RA"
"RA0041",10000,"RA"
"RA0044",10000,"RA"
"RA0045",10000,"RA"
"RA0046",10000,"RA"
"RA0047",10000,"RA"
"RA0048",10000,"RA"
"RA0049",10000,"RA"
"RA0050",10000,"RA"
"RA0051",10000,"RA"
"RA0053",10000,"RA"
"RA0054",10000,"RA"
"RA0055",10000,"RA"
"RA0056",10000,"RA"
"RA0057",10000,"RA"
"RA0058",10000,"RA"
"RA0059",10000,"RA"
"RA0060",10000,"RA"
"RA0061",10000,"RA"
"RA0062",10000,"RA"
"RA0063",10000,"RA"
"RA0064",10000,"RA"
"RA0065",10000,"RA"
"RA0066",10000,"RA"
"RA0067",10000,"RA"
"RA0069",10000,"RA"
"RA0070",10000,"RA"
"RA0071",10000,"RA"
"RA0075",10000,"RA"
"RA0076",10000,"RA"
"RA0079",10000,"RA"
"RA0080",10000,"RA"
"RA0082",10000,"RA"
"RA0083",10000,"RA"
"RA0085",10000,"RA"
"RA0086",10000,"RA"
"RA0087",10000,"RA"
"RA0090",10000,"RA"
"RA0093",10000,"RA"
"RA0097",10000,"RA"
"RA0098",10000,"RA"
"RA0099",10000,"RA"
"RA0100",10000,"RA"
"RA0101",10000,"RA"
"RA0102",10000,"RA"
"RA0103",10000,"RA"
"RA0104",10000,"RA"
"RA0105",10000,"RA"
"RA0106",10000,"RA"
"RA0107",10000,"RA"
"RA0108",10000,"RA"
"RA0109",10000,"RA"
"RA0111",10000,"RA"
"RA0112",10000,"RA"
"RA0114",10000,"RA"
"RA0115",10000,"RA"
"RA0116",10000,"RA"
"RA0117",10000,"RA"
"RA0120",10000,"RA"
"RA0123",10000,"RA"
"RA0125",10000,"RA"
"RA0126",10000,"RA"
"RA0127",10000,"RA"
"RA0130",10000,"RA"
"RA0131",10000,"RA"
"RA0133",10000,"RA"
"RA0135",10000,"RA"
"RA0137",10000,"RA"
"RA0141",10000,"RA"
"RA0142",10000,"RA"
"RA0143",10000,"RA"
"RA0144",10000,"RA"
"RA0145",10000,"RA"
"RA0146",10000,"RA"
"RA0148",10000,"RA"
"RA0149",10000,"RA"
"RA0151",10000,"RA"
"RA0153",10000,"RA"
"RA0154",10000,"RA"
"RA0155",10000,"RA"
"RA0156",10000,"RA"
"RA0157",10000,"RA"
"RA0158",10000,"RA"
"RA0159",10000,"RA"
"RA0160",10000,"RA"
"RA0162",10000,"RA"
"RA0163",10000,"RA"
"RA0164",10000,"RA"
"RA0166",10000,"RA"
"RA0167",10000,"RA"
"RA0169",10000,"RA"
"RA0171",10000,"RA"
"RA0172",10000,"RA"
"RA0173",10000,"RA"
"RA0174",10000,"RA"
"RA0175",10000,"RA"
"RA0178",10000,"RA"
"RA0179",10000,"RA"
"RA0180",10000,"RA"
"RA0181",10000,"RA"
"RA0182",10000,"RA"
"RA0183",10000,"RA"
"RA0184",10000,"RA"
"RA0185",10000,"RA"
"RA0186",10000,"RA"
"RA0187",10000,"RA"
"RA0188",10000,"RA"
"RA0190",10000,"RA"
"RA0193",10000,"RA"
"RA0194",10000,"RA"
"RA0196",10000,"RA"
"RA0197",10000,"RA"
"RA0202",10000,"RA"
"RA0203",10000,"RA"
"RA0206",10000,"RA"
"RA0208",10000,"RA"
"RA0209",10000,"RA"
"RA0210",10000,"RA"
"RA0212",10000,"RA"
"RA0213",10000,"RA"
"RA0214",10000,"RA"
"RA0216",10000,"RA"
"RA0217",10000,"RA"
"RA0220",10000,"RA"
"RA0221",10000,"RA"
"RA0228",10000,"RA"
"RA0229",10000,"RA"
"RA0231",10000,"RA"
"RA0232",10000,"RA"
"RA0233",10000,"RA"
"RA0236",10000,"RA"
"RA0237",10000,"RA"
"RA0238",10000,"RA"
"RA0239",10000,"RA"
"RA0240",10000,"RA"
"RA0241",10000,"RA"
"RA0243",10000,"RA"
"RA0245",10000,"RA"
"RA0246",10000,"RA"
"RA0247",10000,"RA"
"RA0248",10000,"RA"
"RA0249",10000,"RA"
"RA0250",10000,"RA"
"RA0252",10000,"RA"
"RA0253",10000,"RA"
"RA0257",10000,"RA"
"RA0259",10000,"RA"
"RA0260",10000,"RA"
"RA0261",10000,"RA"
"RA0262",10000,"RA"
"RA0263",10000,"RA"
"RA0264",10000,"RA"
"RA0265",10000,"RA"
"RA0266",10000,"RA"
"RA0267",10000,"RA"
"RA0270",10000,"RA"
"RA0271",10000,"RA"
"RA0273",10000,"RA"
"RA0275",10000,"RA"
"RA0278",10000,"RA"
"RA0280",10000,"RA"
"RA0281",10000,"RA"
"RA0282",10000,"RA"
"RA0283",10000,"RA"
"RA0284",10000,"RA"
"RA0289",10000,"RA"
"RA0290",10000,"RA"
"RA0291",10000,"RA"
"RA0294",10000,"RA"
"RA0297",10000,"RA"
"RA0300",10000,"RA"
"RA0302",10000,"RA"
"RA0304",10000,"RA"
"RA0306",10000,"RA"
"RA0307",10000,"RA"
"RA0308",10000,"RA"
"RA0309",10000,"RA"
"RA0310",10000,"RA"
"RA0311",10000,"RA"
"RA0312",10000,"RA"
"RA0313",10000,"RA"
"RA0314",10000,"RA"
"RA0316",10000,"RA"
"RA0317",10000,"RA"
"RA0318",10000,"RA"
"RA0319",10000,"RA"
"RA0322",10000,"RA"
"RA0325",10000,"RA"
"RA0326",10000,"RA"
"RA0327",10000,"RA"
"RA0328",10000,"RA"
"RA0329",10000,"RA"
"RA0330",10000,"RA"
"RA0331",10000,"RA"
"RA0332",10000,"RA"
"RA0333",10000,"RA"
"RA0335",10000,"RA"
"RA0338",10000,"RA"
"RA0339",10000,"RA"
"RA0340",10000,"RA"
"RA0343",10000,"RA"
"RA0344",10000,"RA"
"RA0345",10000,"RA"
"RA0346",10000,"RA"
"RA0348",10000,"RA"
"RA0349",10000,"RA"
"RA0350",10000,"RA"
"RA0353",10000,"RA"
"RA0354",10000,"RA"
"RA0355",10000,"RA"
"RA0357",10000,"RA"
"RA0358",10000,"RA"
"RA0359",10000,"RA"
"RA0360",10000,"RA"
"RA0361",10000,"RA"
"RA0362",10000,"RA"
"RA0364",10000,"RA"
"RA0365",10000,"RA"
"RA0367",10000,"RA"
"RA0368",10000,"RA"
"RA0370",10000,"RA"
"RA0371",10000,"RA"
"RA0372",10000,"RA"
"RA0373",10000,"RA"
"RA0374",10000,"RA"
"RA0376",10000,"RA"
"RA0377",10000,"RA"
"RA0378",10000,"RA"
"RA0379",10000,"RA"
"RA0380",10000,"RA"
"RA0381",10000,"RA"
"RA0382",10000,"RA"
"RA0383",10000,"RA"
"RA0384",10000,"RA"
"RA0385",10000,"RA"
"RA0386",10000,"RA"
"RA0387",10000,"RA"
"RA0388",10000,"RA"
"RA0390",10000,"RA"
"RA0391",10000,"RA"
"RA0394",10000,"RA"
"RA0404",10000,"RA"
"RA0407",10000,"RA"
"RA0408",10000,"RA"
"RA0413",10000,"RA"
"RA0417",10000,"RA"
"RA0420",10000,"RA"
"RA0424",10000,"RA"
"RA0425",10000,"RA"
"RA0426",10000,"RA"
"RA0427",10000,"RA"
"RA0428",10000,"RA"
"RA0439",10000,"RA"
"RA0444",10000,"RA"
"RA0447",10000,"RA"
"RA0449",10000,"RA"
"RA0450",10000,"RA"
"RA0453",10000,"RA"
"RA0454",10000,"RA"
"RA0457",10000,"RA"
"RA0467",10000,"RA"
"RA0469",10000,"RA"
"RA0475",10000,"RA"
"RA0480",10000,"RA"
"RA0481",10000,"RA"
"RA0483",10000,"RA"
"RA0485",10000,"RA"
"RA0487",10000,"RA"
"RA0493",10000,"RA"
"RA0501",10000,"RA"
"RA0505",10000,"RA"
"RA0507",10000,"RA"
"RA0515",10000,"RA"
"RA0519",10000,"RA"
"RA0520",10000,"RA"
"RA0522",10000,"RA"
"RA0523",10000,"RA"
"RA0531",10000,"RA"
"RA0532",10000,"RA"
"RA0534",10000,"RA"
"RA0536",10000,"RA"
"RA0537",10000,"RA"
"RA0538",10000,"RA"
"RA0540",10000,"RA"
"RA0541",10000,"RA"
"RA0542",10000,"RA"
"RA0545",10000,"RA"
"RA0546",10000,"RA"
"RA0547",10000,"RA"
"RA0548",10000,"RA"
"RA0549",10000,"RA"
"RA0550",10000,"RA"
"RA0551",10000,"RA"
"RA0553",10000,"RA"
"RA0555",10000,"RA"
"RA0556",10000,"RA"
"RA0559",10000,"RA"
"RA0561",10000,"RA"
"RA0563",10000,"RA"
"RA0567",10000,"RA"
"RA0568",10000,"RA"
"RA0571",10000,"RA"
"RA0572",10000,"RA"
"RA0573",10000,"RA"
"RA0575",10000,"RA"
"RA0576",10000,"RA"
"RA0577",10000,"RA"
"RA0580",10000,"RA"
"RA0581",10000,"RA"
"RA0582",10000,"RA"
"RA0583",10000,"RA"
"RA0585",10000,"RA"
"RA0586",10000,"RA"
"RA0587",10000,"RA"
"RA0589",10000,"RA"
"RA0590",10000,"RA"
"RA0591",10000,"RA"
"RA0592",10000,"RA"
"RA0594",10000,"RA"
"RA0596",10000,"RA"
"RA0597",10000,"RA"
"RA0598",10000,"RA"
"RA0600",10000,"RA"
"RA0601",10000,"RA"
"RA0602",10000,"RA"
"RA0606",10000,"RA"
"RA0607",10000,"RA"
"RA0608",10000,"RA"
"RA0610",10000,"RA"
"RA0611",10000,"RA"
"RA0613",10000,"RA"
"RA0614",10000,"RA"
"RA0615",10000,"RA"
"RA0618",10000,"RA"
"RA0619",10000,"RA"
"RA0620",10000,"RA"
"RA0622",10000,"RA"
"RA0627",10000,"RA"
"RA0630",10000,"RA"
"RA0631",10000,"RA"
"RA0634",10000,"RA"
"RA0635",10000,"RA"
"RA0638",10000,"RA"
"RA0639",10000,"RA"
"RA0640",10000,"RA"
"RA0642",10000,"RA"
"RA0644",10000,"RA"
"RA0645",10000,"RA"
"RA0646",10000,"RA"
"RA0647",10000,"RA"
"RA0648",10000,"RA"
"RA0649",10000,"RA"
"RA0652",10000,"RA"
"RA0653",10000,"RA"
"RA0654",10000,"RA"
"RA0656",10000,"RA"
"RA0657",10000,"RA"
"RA0658",10000,"RA"
"RA0660",10000,"RA"
"RA0661",10000,"RA"
"RA0662",10000,"RA"
"RA0663",10000,"RA"
"RA0664",10000,"RA"
"RA0666",10000,"RA"
"RA0670",10000,"RA"
"RA0672",10000,"RA"
"RA0673",10000,"RA"
"RA0677",10000,"RA"
"RA0679",10000,"RA"
"RA0682",10000,"RA"
"RA0683",10000,"RA"
"RA0684",10000,"RA"
"RA0686",10000,"RA"
"RA0687",10000,"RA"
"RA0689",10000,"RA"
"RA0690",10000,"RA"
"RA0693",10000,"RA"
"RA0694",10000,"RA"
"RA0696",10000,"RA"
"RA0698",10000,"RA"
"RA0700",10000,"RA"
"RA0702",10000,"RA"
"RA0703",10000,"RA"
"RA0708",10000,"RA"
"RA0716",10000,"RA"
"RA0720",10000,"RA"
"RA0723",10000,"RA"
"RA0724",10000,"RA"
"RA0735",10000,"RA"
"RA0738",10000,"RA"
"RA0739",10000,"RA"
"RA0742",10000,"RA"
"RA0751",10000,"RA"
"RA0752",10000,"RA"
"RA0753",10000,"RA"
"RA0756",10000,"RA"
"RA0757",10000,"RA"
"RA0758",10000,"RA"
"RA0759",10000,"RA"
"RA0760",10000,"RA"
"RA0761",10000,"RA"
"RA0762",10000,"RA"
"RA0764",10000,"RA"
"RA0765",10000,"RA"
"RA0766",10000,"RA"
"RA0768",10000,"RA"
"RA0772",10000,"RA"
"RA0773",10000,"RA"
"RA0775",10000,"RA"
"RA0776",10000,"RA"
"RA0777",10000,"RA"
"RA0781",10000,"RA"
"RA0782",10000,"RA"
"RA0784",10000,"RA"
"RA0785",10000,"RA"
"RA0786",10000,"RA"
"RA0788",10000,"RA"
"RA0791",10000,"RA"
"RA0792",10000,"RA"
"RA0794",10000,"RA"
"RA0795",10000,"RA"
"RA0798",10000,"RA"
"RA0799",10000,"RA"
"RA0805",10000,"RA"
"RA0806",10000,"RA"
"RA0807",10000,"RA"
"RA0808",10000,"RA"
"RA0811",10000,"RA"
"RA0816",10000,"RA"
"RA0818",10000,"RA"
"RA0819",10000,"RA"
"RA0820",10000,"RA"
"RA0822",10000,"RA"
"RA0823",10000,"RA"
"RA0824",10000,"RA"
"RA0825",10000,"RA"
"RA0826",10000,"RA"
"RA0827",10000,"RA"
"RA0828",10000,"RA"
"RA0832",10000,"RA"
"RA0833",10000,"RA"
"RA0834",10000,"RA"
"RA0836",10000,"RA"
"RA0839",10000,"RA"
"RA0841",10000,"RA"
"RA0843",10000,"RA"
"RA0846",10000,"RA"
"RA0847",10000,"RA"
"RA0849",10000,"RA"
"RA0852",10000,"RA"
"RA0853",10000,"RA"
"RA0856",10000,"RA"
"RA0858",10000,"RA"
"RA0859",10000,"RA"
"RA0860",10000,"RA"
"RA0861",10000,"RA"
"RA0862",10000,"RA"
"RA0863",10000,"RA"
"RA0864",10000,"RA"
"RA0865",10000,"RA"
"RA0869",10000,"RA"
"RA0871",10000,"RA"
"RA0873",10000,"RA"
"RA0874",10000,"RA"
"RA0875",10000,"RA"
"RA0878",10000,"RA"
"RA0879",10000,"RA"
"RA0880",10000,"RA"
"RA0881",10000,"RA"
"RA0882",10000,"RA"
"RA0883",10000,"RA"
"RA0885",10000,"RA"
"RA0886",10000,"RA"
"RA0887",10000,"RA"
"RA0889",10000,"RA"
"RA0890",10000,"RA"
"RA0891",10000,"RA"
"RA0892",10000,"RA"
"RA0894",10000,"RA"
"RA0895",10000,"RA"
"RA0898",10000,"RA"
"RA0899",10000,"RA"
"RA0900",10000,"RA"
"RA0901",10000,"RA"
"RA0903",10000,"RA"
"RA0904",10000,"RA"
"RA0907",10000,"RA"
"RA0908",10000,"RA"
"RA0909",10000,"RA"
"RA0914",10000,"RA"
"RA0915",10000,"RA"
"RA0919",10000,"RA"
"RA0927",10000,"RA"
"RA0928",10000,"RA"
"RA0930",10000,"RA"
"RA0932",10000,"RA"
"RA0933",10000,"RA"
"RA0934",10000,"RA"
"RA0939",10000,"RA"
"RA0940",10000,"RA"
"RA0943",10000,"RA"
"RA0944",10000,"RA"
"RA0945",10000,"RA"
"RA0947",10000,"RA"
"RA0949",10000,"RA"
"RA0952",10000,"RA"
"RA0953",10000,"RA"
"RA0957",10000,"RA"
"RA0958",10000,"RA"
"RA0960",10000,"RA"
"RA1007",10000,"RA"
"RA1008",10000,"RA"
"RA1009",10000,"RA"
"RA1019",10000,"RA"
"RA1020",10000,"RA"
"RA1023",10000,"RA"
"RA1024",10000,"RA"
"RA1031",10000,"RA"
"RA1035",10000,"RA"
"RA1036",10000,"RA"
"RA1038",10000,"RA"
"RA1039",10000,"RA"
"RA1040",10000,"RA"
"RA1042",10000,"RA"
"RA1044",10000,"RA"
"RA1045",10000,"RA"
"RA1046",10000,"RA"
"RA1047",10000,"RA"
"RA1048",10000,"RA"
"RA1051",10000,"RA"
"RA1054",10000,"RA"
"RA1055",10000,"RA"
"RA1056",10000,"RA"
"RA1057",10000,"RA"
"RA1058",10000,"RA"
"RA1061",10000,"RA"
"RA1085",10000,"RA"
"RA1087",10000,"RA"
"RA1088",10000,"RA"
"RA1089",10000,"RA"
"RA1090",10000,"RA"
"RA1091",10000,"RA"
"RA1092",10000,"RA"
"RA1093",10000,"RA"
"RA1096",10000,"RA"
"RA1098",10000,"RA"
"RA1099",10000,"RA"
"RA1112",10000,"RA"
"RA1113",10000,"RA"
"RA1114",10000,"RA"
"RA1115",10000,"RA"
"RA1116",10000,"RA"
"RA1117",10000,"RA"
"RA1118",10000,"RA"
"RA1119",10000,"RA"
"RA1120",10000,"RA"
"RA1121",10000,"RA"
"RA1122",10000,"RA"
"RA1123",10000,"RA"
"RA1124",10000,"RA"
"RA1125",10000,"RA"
"RA1126",10000,"RA"
"RA1127",10000,"RA"
"RA1128",10000,"RA"
"RA1129",10000,"RA"
"RA1130",10000,"RA"
"RA1131",10000,"RA"
"RA1132",10000,"RA"
"RA1133",10000,"RA"
"RA1134",10000,"RA"
"RA1135",10000,"RA"
"RA1136",10000,"RA"
"RA1137",10000,"RA"
"RA1138",10000,"RA"
"RA1139",10000,"RA"
"RA1140",10000,"RA"
"RA1141",10000,"RA"
"RA1142",10000,"RA"
"RA1143",10000,"RA"
"RA1144",10000,"RA"
"RA1145",10000,"RA"
"RA1147",10000,"RA"
"RA1148",10000,"RA"
"RA1150",10000,"RA"
"RA1151",10000,"RA"
"RA1152",10000,"RA"
"RA1153",10000,"RA"
"RA1154",10000,"RA"
"RA1155",10000,"RA"
"RA1156",10000,"RA"
"RA1157",10000,"RA"
"RA1158",10000,"RA"
"RA1159",10000,"RA"
"RA1160",10000,"RA"
"RA1161",10000,"RA"
"RA1162",10000,"RA"
"RA1163",10000,"RA"
"RA1164",10000,"RA"
"RA1166",10000,"RA"
"RA1167",10000,"RA"
"RA1168",10000,"RA"
"RA1169",10000,"RA"
"RA1170",10000,"RA"
"RA1171",10000,"RA"
"RA1172",10000,"RA"
"RA1173",10000,"RA"
"RA1174",10000,"RA"
"RA1175",10000,"RA"
"RA1176",10000,"RA"
"RA1177",10000,"RA"
"RA1178",10000,"RA"
"RA1179",10000,"RA"
"RA1181",10000,"RA"
"RA1182",10000,"RA"
"RA1183",10000,"RA"
"RA1200",10000,"RA"
"RA1217",10000,"RA"
"RA1218",10000,"RA"
"RA1219",10000,"RA"
"RA1220",10000,"RA"
"RA1221",10000,"RA"
"RA1222",10000,"RA"
"RA1223",10000,"RA"
"RA1240",10000,"RA"
"RA1242",10000,"RA"
"RA1500",10000,"RA"
"RA1501",10000,"RA"
"RA1502",10000,"RA"
"RA1503",10000,"RA"
"RA1601",10000,"RA"
"RA1602",10000,"RA"
"RA1603",10000,"RA"
"RA1604",10000,"RA"
"RA1605",10000,"RA"
"RA1606",10000,"RA"
"RA1607",10000,"RA"
"RA1608",10000,"RA"
"RA1609",10000,"RA"
"RA1611",10000,"RA"
"RA1612",10000,"RA"
"RA1613",10000,"RA"
"RA1614",10000,"RA"
"RA1615",10000,"RA"
"RA1616",10000,"RA"
"RA1617",10000,"RA"
"RA1618",10000,"RA"
"RA1619",10000,"RA"
"RA1620",10000,"RA"
"RA1621",10000,"RA"
"RA1622",10000,"RA"
"RA1623",10000,"RA"
"RA1624",10000,"RA"
"RA1625",10000,"RA"
"RA1626",10000,"RA"
"RA1627",10000,"RA"
"RA1628",10000,"RA"
"RA1629",10000,"RA"
"RA1630",10000,"RA"
"RA1631",10000,"RA"
"RA1632",10000,"RA"
"RA1633",10000,"RA"
"RA1634",10000,"RA"
"RA1635",10000,"RA"
"RA1636",10000,"RA"
"RA1637",10000,"RA"
"RA1639",10000,"RA"
"RA1640",10000,"RA"
"RA1643",10000,"RA"
"RA1644",10000,"RA"
"RA1646",10000,"RA"
"RA1647",10000,"RA"
"RA1648",10000,"RA"
"RA1649",10000,"RA"
"RA1651",10000,"RA"
"RA1652",10000,"RA"
"RA1653",10000,"RA"
"RA1654",10000,"RA"
"RA1656",10000,"RA"
"RA1657",10000,"RA"
"RA1658",10000,"RA"
"RA1659",10000,"RA"
"RA1660",10000,"RA"
"RA1661",10000,"RA"
"RA1662",10000,"RA"
"RA1666",10000,"RA"
"RA1667",10000,"RA"
"RA1668",10000,"RA"
"RA1669",10000,"RA"
"RA1670",10000,"RA"
"RA1672",10000,"RA"
"RA1673",10000,"RA"
"RA1674",10000,"RA"
"RA1675",10000,"RA"
"RA1676",10000,"RA"
"RA1677",10000,"RA"
"RA1678",10000,"RA"
"RA1679",10000,"RA"
"RA1680",10000,"RA"
"RA1681",10000,"RA"
"RA1682",10000,"RA"
"RA2001",10000,"RA"
"RA2002",10000,"RA"
"RA2003",10000,"RA"
"RA2004",10000,"RA"
"RA2008",10000,"RA"
"RA2013",10000,"RA"
"RA2017",10000,"RA"
"RA2018",10000,"RA"
"RA2019",10000,"RA"
"RA2020",10000,"RA"
"RA2021",10000,"RA"
"RA2023",10000,"RA"
"RA2024",10000,"RA"
"RA2025",10000,"RA"
"RA2026",10000,"RA"
"RA2027",10000,"RA"
"RA2032",10000,"RA"
"RA2033",10000,"RA"
"RA2041",10000,"RA"
"RA2042",10000,"RA"
"RA2045",10000,"RA"
"RA2046",10000,"RA"
"RA2047",10000,"RA"
"RA2048",10000,"RA"
"RA2049",10000,"RA"
"RA2052",10000,"RA"
"RA2053",10000,"RA"
"RA2054",10000,"RA"
"RA2057",10000,"RA"
"RA2061",10000,"RA"
"RA2062",10000,"RA"
"RA2064",10000,"RA"
"RA2066",10000,"RA"
"RA2067",10000,"RA"
"RA2070",10000,"RA"
"RA2072",10000,"RA"
"RA2074",10000,"RA"
"RA2076",10000,"RA"
"RA2077",10000,"RA"
"RA2079",10000,"RA"
"RA2080",10000,"RA"
"RA2081",10000,"RA"
"RA2082",10000,"RA"
"RA2083",10000,"RA"
"RA2084",10000,"RA"
"RA2085",10000,"RA"
"RA2086",10000,"RA"
"RA2089",10000,"RA"
"RA2090",10000,"RA"
"RA2091",10000,"RA"
"RA2092",10000,"RA"
"RA2093",10000,"RA"
"RA2095",10000,"RA"
"RA2096",10000,"RA"
"RA2099",10000,"RA"
"RA2101",10000,"RA"
"RA2102",10000,"RA"
"RA2104",10000,"RA"
"RA2106",10000,"RA"
"RA2107",10000,"RA"
"RA2108",10000,"RA"
"RA2109",10000,"RA"
"RA2110",10000,"RA"
