"Comparison","Raw_Mean_AUC","Comparator_Mean_AUC","Mean_Difference","P_Value","P_Adjusted_Holm"
"Raw log(x+1) vs Relative abundance",0.783039669653417,0.783008265346349,3.14043070672954e-05,0.741259697119932,0.809644599628133
"Raw log(x+1) vs CLR",0.783039669653417,0.781027121294125,0.002012548359292,0.404822299814067,0.809644599628133
